Airline,Source,Destination,Total_Stops,Price,Duration_In_Min,Dep_hour,Dep_min,Arrival_hour,Arrival_min,Journey_month,Journey_day
Air India,Kolkata,Banglore,1,6528,1440.0,14,35,14,35,May,Sunday
Air India,Banglore,Delhi,0,6121,165.0,6,10,8,55,May,Wednesday
Jet Airways,Delhi,Cochin,2,13029,535.0,19,30,4,25,May,Saturday
Multiple carriers,Delhi,Cochin,1,11421,430.0,11,40,18,50,March,Wednesday
Multiple carriers,Delhi,Cochin,1,7574,870.0,4,45,19,15,March,Wednesday
Air India,Delhi,Cochin,2,11596,1820.0,12,55,19,15,May,Thursday
Jet Airways,Delhi,Cochin,2,15129,1195.0,23,5,19,0,May,Friday
Jet Airways,Banglore,New Delhi,1,13555,900.0,14,5,5,5,March,Monday
IndiGo,Banglore,Delhi,0,5780,175.0,18,55,21,50,April,Friday
Vistara,Kolkata,Banglore,1,9397,765.0,20,20,9,5,May,Sunday
Jet Airways,Delhi,Cochin,1,17024,610.0,18,15,4,25,March,Wednesday
GoAir,Delhi,Cochin,1,5281,355.0,7,0,12,55,June,Thursday
Multiple carriers,Delhi,Cochin,1,10348,925.0,7,5,22,30,May,Saturday
Air India,Delhi,Cochin,1,12677,965.0,17,20,9,25,March,Wednesday
Multiple carriers,Delhi,Cochin,1,15147,610.0,15,25,1,35,March,Sunday
Vistara,Banglore,Delhi,0,4668,160.0,7,0,9,40,June,Wednesday
Jet Airways,Delhi,Cochin,1,15554,715.0,7,5,19,0,May,Thursday
SpiceJet,Banglore,Delhi,0,3971,160.0,5,55,8,35,April,Tuesday
Air India,Mumbai,Hyderabad,0,3100,85.0,15,0,16,25,May,Friday
Jet Airways,Kolkata,Banglore,1,9663,845.0,20,0,10,5,May,Monday
Air India,Delhi,Cochin,1,27430,1215.0,23,0,19,15,March,Friday
IndiGo,Chennai,Kolkata,0,3540,145.0,5,15,7,40,May,Sunday
Air India,Kolkata,Banglore,2,10676,1390.0,12,0,11,10,May,Tuesday
Jet Airways,Kolkata,Banglore,1,13044,1090.0,14,5,8,15,June,Wednesday
Jet Airways,Kolkata,Banglore,1,14388,960.0,20,0,12,0,May,Monday
IndiGo,Banglore,Delhi,0,3943,170.0,4,0,6,50,June,Monday
IndiGo,Chennai,Kolkata,0,3597,140.0,14,45,17,5,June,Monday
Air India,Banglore,New Delhi,1,5932,480.0,11,50,19,50,March,Thursday
Jet Airways,Delhi,Cochin,1,10262,1015.0,11,30,4,25,June,Saturday
Vistara,Delhi,Cochin,0,6216,190.0,14,40,17,50,May,Sunday
IndiGo,Kolkata,Banglore,0,4804,165.0,20,25,23,10,June,Saturday
Multiple carriers,Delhi,Cochin,1,14067,840.0,11,30,1,30,May,Tuesday
Jet Airways,Delhi,Cochin,2,15129,1430.0,19,10,19,0,May,Saturday
Jet Airways,Delhi,Cochin,2,13376,1300.0,6,45,4,25,June,Thursday
Air India,Delhi,Cochin,2,10441,1275.0,22,0,19,15,June,Thursday
Jet Airways,Banglore,Delhi,0,4030,165.0,6,0,8,45,May,Friday
Jet Airways,Delhi,Cochin,1,17024,650.0,8,0,18,50,March,Sunday
Multiple carriers,Delhi,Cochin,1,13017,480.0,17,30,1,30,April,Tuesday
GoAir,Kolkata,Banglore,1,6686,495.0,23,30,7,45,June,Thursday
IndiGo,Delhi,Cochin,1,5636,325.0,2,0,7,25,June,Saturday
IndiGo,Delhi,Cochin,1,6442,515.0,7,35,16,10,June,Sunday
Multiple carriers,Delhi,Cochin,1,9486,710.0,13,5,0,55,May,Tuesday
Jet Airways,Kolkata,Banglore,1,10844,1655.0,20,0,23,35,May,Tuesday
Jet Airways,Delhi,Cochin,2,15318,505.0,20,0,4,25,June,Monday
Air India,Delhi,Cochin,1,5117,1255.0,12,30,9,25,April,Wednesday
IndiGo,Delhi,Cochin,1,6147,290.0,15,10,20,0,June,Monday
Multiple carriers,Delhi,Cochin,1,7005,490.0,12,50,21,0,June,Sunday
SpiceJet,Kolkata,Banglore,0,3873,140.0,22,20,0,40,April,Wednesday
Jet Airways,Delhi,Cochin,2,9270,1465.0,18,25,18,50,March,Thursday
GoAir,Banglore,Delhi,0,3898,170.0,11,40,14,30,June,Thursday
Jet Airways,Kolkata,Banglore,1,14781,740.0,8,25,20,45,May,Sunday
Jet Airways,Kolkata,Banglore,1,8586,735.0,20,0,8,15,May,Friday
Air India,Kolkata,Banglore,2,10697,1415.0,8,20,7,55,May,Thursday
Jet Airways,Delhi,Cochin,2,14300,995.0,20,0,12,35,June,Thursday
IndiGo,Banglore,New Delhi,0,8855,170.0,18,55,21,45,March,Sunday
Jet Airways,Kolkata,Banglore,1,10844,1545.0,16,30,18,15,May,Sunday
Jet Airways,Delhi,Cochin,1,17024,1570.0,2,15,4,25,March,Wednesday
Jet Airways,Kolkata,Banglore,1,9314,1730.0,9,35,14,25,May,Wednesday
IndiGo,Banglore,New Delhi,0,4777,165.0,0,40,3,25,March,Sunday
Air India,Kolkata,Banglore,1,7662,1515.0,12,0,13,15,June,Sunday
IndiGo,Delhi,Cochin,1,6442,560.0,6,50,16,10,May,Thursday
SpiceJet,Delhi,Cochin,1,5264,270.0,8,45,13,15,June,Wednesday
Jet Airways,Delhi,Cochin,1,12898,925.0,13,0,4,25,May,Monday
Air India,Mumbai,Hyderabad,0,6092,90.0,13,55,15,25,March,Sunday
SpiceJet,Banglore,Delhi,0,3311,160.0,5,55,8,35,May,Tuesday
Jet Airways,Delhi,Cochin,1,6540,550.0,19,15,4,25,March,Wednesday
IndiGo,Banglore,Delhi,0,3419,165.0,1,30,4,15,May,Monday
Jet Airways,Delhi,Cochin,1,5177,1355.0,14,0,12,35,April,Wednesday
Air India,Delhi,Cochin,0,8246,185.0,18,5,21,10,April,Thursday
Jet Airways,Kolkata,Banglore,1,14676,690.0,9,35,21,5,June,Sunday
Multiple carriers,Delhi,Cochin,1,13587,570.0,11,30,21,0,June,Thursday
Jet Airways,Kolkata,Banglore,1,9663,730.0,21,10,9,20,May,Monday
Jet Airways,Kolkata,Banglore,1,13044,1055.0,16,30,10,5,June,Wednesday
IndiGo,Delhi,Cochin,1,5073,305.0,20,25,1,30,April,Wednesday
Vistara,Kolkata,Banglore,1,9345,1550.0,17,0,18,50,May,Tuesday
Jet Airways,Kolkata,Banglore,1,9663,1200.0,14,5,10,5,May,Monday
Multiple carriers,Delhi,Cochin,1,14277,780.0,8,0,21,0,May,Tuesday
Jet Airways,Delhi,Cochin,1,10262,1105.0,10,0,4,25,June,Saturday
Jet Airways,Mumbai,Hyderabad,0,5678,90.0,19,35,21,5,March,Wednesday
Multiple carriers,Delhi,Cochin,1,13727,570.0,16,0,1,30,May,Wednesday
Jet Airways,Kolkata,Banglore,1,9663,960.0,20,0,12,0,May,Monday
IndiGo,Chennai,Kolkata,0,3858,140.0,14,45,17,5,May,Sunday
SpiceJet,Delhi,Cochin,1,4812,270.0,8,45,13,15,June,Monday
IndiGo,Delhi,Cochin,1,5775,345.0,21,50,3,35,June,Thursday
Jet Airways,Kolkata,Banglore,1,10539,1450.0,9,35,9,45,June,Thursday
IndiGo,Kolkata,Banglore,0,4804,155.0,15,30,18,5,June,Monday
Air Asia,Banglore,Delhi,0,3383,165.0,11,10,13,55,June,Wednesday
IndiGo,Banglore,New Delhi,1,8738,295.0,12,10,17,5,March,Sunday
Air India,Delhi,Cochin,1,7165,1535.0,5,15,6,50,March,Wednesday
IndiGo,Delhi,Cochin,1,6412,380.0,16,10,22,30,June,Monday
Jet Airways,Banglore,Delhi,0,8016,185.0,18,55,22,0,June,Thursday
Jet Airways,Banglore,New Delhi,1,11087,1120.0,20,35,15,15,March,Tuesday
SpiceJet,Chennai,Kolkata,0,3543,135.0,9,45,12,0,June,Thursday
Jet Airways,Kolkata,Banglore,1,12471,730.0,16,30,4,40,June,Wednesday
Jet Airways,Delhi,Cochin,1,10262,1165.0,9,0,4,25,June,Monday
Air India,Banglore,New Delhi,0,4441,170.0,13,20,16,10,March,Monday
Multiple carriers,Delhi,Cochin,1,12537,505.0,7,5,15,30,March,Wednesday
GoAir,Kolkata,Banglore,1,10091,555.0,22,25,7,40,March,Sunday
Air India,Banglore,Delhi,0,6961,170.0,21,5,23,55,June,Monday
IndiGo,Delhi,Cochin,0,5013,195.0,5,35,8,50,April,Wednesday
Air India,Delhi,Cochin,0,6934,170.0,5,10,8,0,May,Saturday
Multiple carriers,Delhi,Cochin,1,10877,740.0,6,40,19,0,June,Monday
Jet Airways,Banglore,Delhi,0,7229,175.0,15,15,18,10,April,Thursday
IndiGo,Delhi,Cochin,1,7048,575.0,16,0,1,35,March,Wednesday
Vistara,Banglore,Delhi,0,4878,155.0,17,0,19,35,June,Thursday
Jet Airways,Kolkata,Banglore,1,10844,570.0,14,5,23,35,May,Tuesday
Jet Airways,Delhi,Cochin,2,15129,1760.0,23,5,4,25,May,Saturday
IndiGo,Banglore,Delhi,0,3943,175.0,0,30,3,25,May,Sunday
SpiceJet,Delhi,Cochin,1,5583,315.0,6,5,11,20,June,Thursday
Multiple carriers,Delhi,Cochin,1,9646,545.0,7,5,16,10,June,Thursday
Multiple carriers,Delhi,Cochin,1,7677,645.0,8,30,19,15,June,Monday
IndiGo,Delhi,Cochin,1,6842,295.0,5,10,10,5,June,Saturday
Jet Airways,Mumbai,Hyderabad,0,4995,90.0,8,45,10,15,June,Monday
Vistara,Kolkata,Banglore,1,9555,700.0,7,10,18,50,June,Sunday
IndiGo,Banglore,Delhi,0,4077,165.0,1,30,4,15,June,Saturday
Jet Airways,Banglore,Delhi,0,7229,175.0,15,15,18,10,May,Sunday
Multiple carriers,Delhi,Cochin,1,12192,600.0,9,0,19,0,June,Sunday
Air India,Banglore,Delhi,0,5911,165.0,10,0,12,45,April,Friday
Air India,Delhi,Cochin,1,8372,615.0,9,0,19,15,June,Wednesday
Jet Airways,Mumbai,Hyderabad,0,4995,85.0,7,10,8,35,March,Monday
Multiple carriers,Delhi,Cochin,1,14323,555.0,10,0,19,15,May,Thursday
Jet Airways,Delhi,Cochin,2,13014,1375.0,5,30,4,25,June,Sunday
Air India,Delhi,Cochin,2,13591,1730.0,14,25,19,15,June,Thursday
Jet Airways,Delhi,Cochin,2,18799,2245.0,5,25,18,50,March,Sunday
IndiGo,Banglore,Delhi,0,3943,170.0,23,30,2,20,April,Saturday
SpiceJet,Mumbai,Hyderabad,0,1965,90.0,5,45,7,15,May,Tuesday
Jet Airways,Mumbai,Hyderabad,0,4995,90.0,10,20,11,50,May,Monday
Air India,Kolkata,Banglore,1,14641,1540.0,16,50,18,30,March,Sunday
Air India,Kolkata,Banglore,0,4460,155.0,20,45,23,20,April,Friday
Air India,Delhi,Cochin,1,10191,375.0,13,0,19,15,May,Saturday
Jet Airways,Delhi,Cochin,1,13843,1050.0,2,15,19,45,March,Saturday
IndiGo,Delhi,Cochin,1,6349,345.0,21,50,3,35,May,Wednesday
Air Asia,Kolkata,Banglore,0,4409,155.0,10,20,12,55,May,Wednesday
Jet Airways,Delhi,Cochin,1,17024,1530.0,18,15,19,45,March,Wednesday
Multiple carriers,Delhi,Cochin,1,13727,835.0,7,5,21,0,May,Saturday
IndiGo,Banglore,New Delhi,0,8855,175.0,18,25,21,20,March,Friday
Multiple carriers,Delhi,Cochin,1,12524,615.0,8,45,19,0,June,Monday
Jet Airways,Banglore,New Delhi,1,13555,520.0,11,40,20,20,March,Monday
Jet Airways,Kolkata,Banglore,1,10844,330.0,6,30,12,0,June,Thursday
Multiple carriers,Delhi,Cochin,1,13587,720.0,9,0,21,0,June,Sunday
SpiceJet,Chennai,Kolkata,0,3543,135.0,9,45,12,0,June,Wednesday
Vistara,Chennai,Kolkata,0,4842,135.0,7,5,9,20,March,Monday
IndiGo,Banglore,Delhi,0,3943,170.0,23,30,2,20,April,Wednesday
Jet Airways,Delhi,Cochin,1,10577,550.0,19,15,4,25,June,Sunday
IndiGo,Delhi,Cochin,1,6979,625.0,10,35,21,0,May,Wednesday
Vistara,Chennai,Kolkata,0,11982,140.0,17,45,20,5,June,Thursday
SpiceJet,Delhi,Cochin,1,5264,270.0,8,45,13,15,June,Thursday
Vistara,Delhi,Cochin,0,8001,190.0,6,0,9,10,March,Sunday
Air India,Delhi,Cochin,2,10651,1410.0,19,45,19,15,June,Saturday
Jet Airways,Kolkata,Banglore,1,10844,1640.0,16,30,19,50,May,Friday
Multiple carriers,Delhi,Cochin,1,6601,755.0,9,45,22,20,March,Wednesday
Air India,Delhi,Cochin,1,6587,1455.0,19,0,19,15,March,Thursday
SpiceJet,Mumbai,Hyderabad,0,3173,80.0,13,10,14,30,March,Thursday
Air India,Banglore,Delhi,0,5228,165.0,10,0,12,45,May,Thursday
Jet Airways,Banglore,Delhi,0,5769,180.0,7,10,10,10,June,Friday
Jet Airways,Delhi,Cochin,1,14714,660.0,8,0,19,0,June,Thursday
Jet Airways,Delhi,Cochin,2,13014,810.0,5,30,19,0,June,Monday
IndiGo,Banglore,Delhi,0,3359,170.0,22,10,1,0,June,Monday
GoAir,Banglore,New Delhi,0,6722,175.0,20,55,23,50,March,Sunday
IndiGo,Kolkata,Banglore,0,4462,165.0,9,35,12,20,March,Monday
IndiGo,Delhi,Cochin,1,6171,675.0,4,55,16,10,March,Saturday
Air India,Kolkata,Banglore,2,12303,875.0,5,50,20,25,May,Tuesday
Multiple carriers,Delhi,Cochin,1,7695,835.0,11,40,1,35,March,Thursday
IndiGo,Delhi,Cochin,1,5684,845.0,11,25,1,30,June,Monday
Air India,Kolkata,Banglore,1,8366,905.0,16,50,7,55,June,Wednesday
Air India,Chennai,Kolkata,0,19630,135.0,11,40,13,55,March,Friday
Jet Airways,Banglore,New Delhi,1,13502,900.0,14,5,5,5,March,Wednesday
Jet Airways,Kolkata,Banglore,1,14781,775.0,21,10,10,5,May,Wednesday
Multiple carriers,Delhi,Cochin,1,6513,540.0,7,10,16,10,June,Wednesday
Air India,Delhi,Cochin,1,9929,735.0,7,0,19,15,June,Saturday
Multiple carriers,Delhi,Cochin,2,18275,460.0,17,50,1,30,June,Thursday
Air India,Delhi,Cochin,1,4487,1640.0,6,5,9,25,April,Tuesday
IndiGo,Mumbai,Hyderabad,0,2754,85.0,21,20,22,45,March,Friday
Air India,Mumbai,Hyderabad,0,2575,80.0,6,20,7,40,March,Wednesday
SpiceJet,Kolkata,Banglore,1,8224,330.0,15,55,21,25,June,Wednesday
Air India,Delhi,Cochin,1,8991,705.0,20,30,8,15,March,Saturday
IndiGo,Delhi,Cochin,0,5000,195.0,5,35,8,50,June,Monday
Jet Airways,Kolkata,Banglore,1,8529,1495.0,18,55,19,50,June,Wednesday
Air India,Delhi,Cochin,1,14042,1640.0,6,5,9,25,March,Sunday
Jet Airways,Banglore,Delhi,0,4030,175.0,11,10,14,5,May,Friday
Jet Airways,Kolkata,Banglore,1,10844,1025.0,18,55,12,0,June,Thursday
IndiGo,Kolkata,Banglore,0,4804,160.0,21,25,0,5,May,Monday
Multiple carriers,Delhi,Cochin,1,7308,480.0,17,30,1,30,May,Monday
IndiGo,Banglore,Delhi,0,4823,180.0,16,55,19,55,May,Sunday
Jet Airways,Delhi,Cochin,1,10262,1655.0,9,0,12,35,June,Monday
Jet Airways,Delhi,Cochin,1,12898,450.0,20,55,4,25,May,Monday
Air India,Banglore,New Delhi,2,12778,1375.0,17,25,16,20,March,Tuesday
IndiGo,Delhi,Cochin,1,14871,515.0,4,45,13,20,March,Sunday
Air India,Delhi,Cochin,2,8708,1795.0,13,20,19,15,March,Thursday
Jet Airways,Kolkata,Banglore,1,10844,1335.0,20,0,18,15,June,Thursday
SpiceJet,Mumbai,Hyderabad,0,4129,80.0,5,45,7,5,March,Wednesday
IndiGo,Kolkata,Banglore,0,4804,160.0,21,25,0,5,May,Saturday
Jet Airways,Banglore,Delhi,0,7229,180.0,8,20,11,20,May,Monday
Jet Airways,Banglore,New Delhi,1,7832,730.0,7,0,19,10,March,Thursday
SpiceJet,Chennai,Kolkata,0,3859,155.0,9,30,12,5,March,Monday
Multiple carriers,Delhi,Cochin,1,9001,705.0,7,30,19,15,June,Thursday
Vistara,Banglore,Delhi,0,4878,155.0,17,0,19,35,May,Thursday
IndiGo,Mumbai,Hyderabad,0,2754,90.0,2,35,4,5,May,Friday
Vistara,Banglore,Delhi,0,4668,160.0,7,0,9,40,June,Thursday
Air Asia,Kolkata,Banglore,0,5216,155.0,10,20,12,55,May,Sunday
Jet Airways,Delhi,Cochin,2,10368,1375.0,5,30,4,25,June,Thursday
IndiGo,Delhi,Cochin,2,8146,880.0,6,40,21,20,March,Saturday
Jet Airways,Delhi,Cochin,1,12242,925.0,13,0,4,25,March,Wednesday
Jet Airways,Banglore,New Delhi,1,9134,435.0,8,0,15,15,March,Friday
Air India,Delhi,Cochin,2,10939,1210.0,13,15,9,25,June,Thursday
Air India,Delhi,Cochin,2,11753,1245.0,10,55,7,40,June,Thursday
SpiceJet,Kolkata,Banglore,0,4174,150.0,17,10,19,40,April,Wednesday
Jet Airways,Kolkata,Banglore,1,10844,1430.0,20,0,19,50,May,Tuesday
Jet Airways,Delhi,Cochin,1,14714,1620.0,16,0,19,0,June,Monday
Jet Airways,Kolkata,Banglore,1,9899,330.0,6,30,12,0,June,Wednesday
IndiGo,Delhi,Cochin,1,14871,710.0,9,10,21,0,March,Sunday
IndiGo,Chennai,Kolkata,0,7295,135.0,13,20,15,35,March,Wednesday
Air India,Delhi,Cochin,2,13465,1470.0,18,45,19,15,June,Thursday
SpiceJet,Chennai,Kolkata,0,3543,140.0,17,45,20,5,May,Tuesday
Multiple carriers,Delhi,Cochin,1,7198,390.0,19,0,1,30,June,Thursday
Jet Airways,Delhi,Cochin,1,10262,1225.0,8,0,4,25,June,Saturday
IndiGo,Kolkata,Banglore,0,4148,155.0,15,20,17,55,March,Friday
Jet Airways,Banglore,Delhi,0,8016,175.0,15,15,18,10,June,Thursday
Jet Airways,Delhi,Cochin,1,10262,335.0,22,50,4,25,June,Sunday
SpiceJet,Kolkata,Banglore,0,3841,150.0,14,55,17,25,June,Saturday
Jet Airways,Banglore,New Delhi,1,11507,885.0,9,45,0,30,March,Tuesday
Jet Airways,Kolkata,Banglore,1,14781,740.0,8,25,20,45,May,Wednesday
Jet Airways,Delhi,Cochin,1,16079,1530.0,17,30,19,0,May,Monday
Jet Airways,Delhi,Cochin,1,12898,335.0,22,50,4,25,May,Monday
Multiple carriers,Delhi,Cochin,1,15353,705.0,7,30,19,15,March,Wednesday
IndiGo,Banglore,New Delhi,0,7303,175.0,18,25,21,20,March,Sunday
SpiceJet,Kolkata,Banglore,1,6197,340.0,15,5,20,45,March,Sunday
Air India,Kolkata,Banglore,1,8996,245.0,9,10,13,15,June,Sunday
IndiGo,Delhi,Cochin,1,6528,480.0,14,20,22,20,March,Thursday
GoAir,Banglore,Delhi,0,4239,165.0,20,55,23,40,April,Tuesday
IndiGo,Kolkata,Banglore,0,4148,160.0,20,25,23,5,March,Tuesday
SpiceJet,Banglore,Delhi,0,3971,175.0,21,10,0,5,May,Friday
Air Asia,Kolkata,Banglore,1,5192,955.0,7,35,23,30,May,Monday
Jet Airways,Delhi,Cochin,2,9483,1390.0,13,25,12,35,April,Tuesday
Jet Airways,Delhi,Cochin,2,18804,440.0,11,40,19,0,June,Monday
